forecast_date,target,actual,abs_err_uv_HLSTM_GRU,abs_err_uv_GRU,abs_err_uv_ANN,abs_err_mv_HLSTM_GRU,abs_err_mv_GRU,abs_err_mv_ANN,abs_err_ensemble_uv,abs_err_ensemble_mv,abs_err_ensemble_all
2026-06-15,PRmsl,100550.0,7.77390000000014,26.33969999999681,27.41229999999632,19.18180000000575,7.57390000000305,24.548099999999977,2.233800000001793,17.101299999994808,7.433799999998882
2026-06-15,RH2m,60.0,6.524500000000003,2.624699999999997,4.1795999999999935,1.7627000000000024,3.0730999999999966,6.758899999999997,4.442999999999998,3.864899999999999,4.153899999999993
2026-06-15,TMP2m,31.9,0.8096000000000032,0.6746999999999979,1.0198999999999998,1.2457999999999991,0.5086999999999975,0.4164999999999992,0.2949999999999981,0.7236999999999973,0.5092999999999996
2026-06-16,PRmsl,100560.0,24.1195000000007,58.01829999999609,52.63330000000133,6.194199999998091,15.941800000000512,34.829899999997,44.92369999999937,18.98859999999695,31.956200000000536
2026-06-16,RH2m,59.0,6.636200000000002,2.812100000000001,2.9039,2.4268,2.9973000000000027,4.234200000000001,4.117400000000004,3.2194999999999965,3.6683999999999983
2026-06-16,TMP2m,32.8,0.3451000000000022,1.2951999999999977,1.515499999999996,1.895099999999996,1.0509999999999984,1.0165999999999968,0.8217999999999961,1.3208999999999982,1.071399999999997
2026-06-17,PRmsl,100600.0,50.74529999999504,84.84619999999995,72.62149999999383,19.796400000006543,38.17720000000554,50.36440000000584,69.40439999999944,36.11269999999786,52.75849999999628
2026-06-17,RH2m,65.0,0.448999999999998,3.136499999999998,3.354700000000001,3.292499999999997,2.6631,2.6244000000000014,2.014099999999999,2.8599999999999994,2.4369999999999976
2026-06-17,TMP2m,32.6,0.969699999999996,0.5838999999999999,0.8811,1.3476,0.4950000000000045,0.6993000000000009,0.1651000000000024,0.8473000000000006,0.5061999999999998
2026-06-18,PRmsl,100660.0,93.77090000000317,126.44319999999423,88.68700000000536,69.46850000000268,72.08329999999842,92.62260000000242,102.9670000000042,78.05819999999949,90.51260000000184
2026-06-18,RH2m,70.0,2.4298,1.8252999999999984,0.9410000000000024,3.013800000000004,0.8716000000000008,1.8326,0.1122000000000014,1.906000000000006,1.0091000000000037
2026-06-18,TMP2m,31.0,2.2982000000000014,0.7176000000000009,0.5881000000000007,0.2300000000000004,1.0902999999999992,0.9257999999999988,1.2013000000000034,0.7486999999999995,0.9750000000000014
2026-06-19,PRmsl,100690.0,85.74370000000636,113.77159999999276,78.41099999999278,75.11139999999432,58.0228999999963,110.42630000000644,92.6420999999973,81.18679999999586,86.91449999999895
2026-06-19,RH2m,74.0,0.9937999999999932,2.3920999999999992,0.2937000000000012,4.610699999999994,1.857699999999994,2.0777999999999963,0.563999999999993,2.848699999999994,1.706400000000002
2026-06-19,TMP2m,30.4,1.683399999999999,0.097100000000001,0.4582000000000015,0.066200000000002,0.8388000000000027,0.8298000000000023,0.7462000000000018,0.5783000000000023,0.6623000000000019
2026-06-20,PRmsl,100750.0,122.85929999999644,156.87570000000414,121.45769999999902,139.94130000000587,110.15670000000682,140.86740000000282,133.73089999999502,130.32180000000517,132.02640000000247
2026-06-20,RH2m,75.0,2.8045000000000044,0.689700000000002,0.899799999999999,2.822800000000001,0.3790000000000049,0.303299999999993,1.004800000000003,0.9157000000000011,0.04460000000000264
2026-06-20,TMP2m,29.9,1.534200000000002,0.1477000000000004,0.3811,0.3484000000000016,0.8813000000000031,0.25150000000000006,0.6877000000000031,0.49370000000000047,0.5907000000000018
