city,forecast_date,nasa_latest_used,run_timestamp,target,unit,actual,is_om_sourced,ensemble,MV_HLSTM_GRU,MV_GRU,UV_HLSTM_GRU,UV_GRU,adjustment_applied,err_ensemble,abs_err_ensemble,err_MV_HLSTM_GRU,abs_err_MV_HLSTM_GRU,err_MV_GRU,abs_err_MV_GRU,err_UV_HLSTM_GRU,abs_err_UV_HLSTM_GRU,err_UV_GRU,abs_err_UV_GRU
Delhi,2026-06-15,2026-06-12,2026-06-15T23:47:17.959337,PRmsl,Pa,100688.9804,True,100489.8562,100633.586,100468.3736,100426.3257,100431.1397,False,-199.1242,199.1242,-55.3944,55.3944,-220.6068,220.6068,-262.6547,262.6547,-257.8407,257.8407
Delhi,2026-06-15,2026-06-12,2026-06-15T23:47:17.959337,RH2m,%,34.0075,True,69.0331,55.1048,81.9455,58.0896,80.9928,False,35.0256,35.0256,21.0973,21.0973,47.938,47.938,24.0821,24.0821,46.9853,46.9853
Delhi,2026-06-15,2026-06-12,2026-06-15T23:47:17.959337,TMP2m,C,34.2161,True,31.5441,31.8142,29.2984,33.6552,31.4086,False,-2.672,2.672,-2.4019,2.4019,-4.9177,4.9177,-0.5609,0.5609,-2.8075,2.8075
