city,forecast_date,nasa_latest_used,run_timestamp,target,unit,actual,is_om_sourced,ensemble,MV_HLSTM_GRU,MV_GRU,UV_HLSTM_GRU,UV_GRU,adjustment_applied,err_ensemble,abs_err_ensemble,err_MV_HLSTM_GRU,abs_err_MV_HLSTM_GRU,err_MV_GRU,abs_err_MV_GRU,err_UV_HLSTM_GRU,abs_err_UV_HLSTM_GRU,err_UV_GRU,abs_err_UV_GRU
Mumbai,2026-06-15,2026-06-12,2026-06-15T23:46:14.381020,PRmsl,Pa,100768.5686,True,100586.4,100669.9504,100660.7141,100547.7852,100467.1502,False,-182.1686,182.1686,-98.6182,98.6182,-107.8545,107.8545,-220.7834,220.7834,-301.4184,301.4184
Mumbai,2026-06-15,2026-06-12,2026-06-15T23:46:14.381020,RH2m,%,71.1312,True,71.5425,63.3327,83.915,65.8105,73.1119,False,0.4113,0.4113,-7.7985,7.7985,12.7838,12.7838,-5.3207,5.3207,1.9807,1.9807
Mumbai,2026-06-15,2026-06-12,2026-06-15T23:46:14.381020,TMP2m,C,29.9695,True,30.7053,30.6692,27.6379,31.265,33.2489,False,0.7358,0.7358,0.6997,0.6997,-2.3316,2.3316,1.2955,1.2955,3.2794,3.2794
